Ino,State,flag,transaction,time elapsed,culmulative time elapsed
64235,7,1,545553.7370430988,1.833e-06,0.19587710399999997
64235,7,1,1919385.7965451058,5.21e-07,0.19587762499999997
64235,7,1,14395.531626982984,6.9466e-05,0.19594709099999996
64235,7,1,804505.2292839903,1.243e-06,0.19594833399999997
64235,7,1,2500000.0,4e-07,0.19594873399999999
131274,5,1,377.81814554763986,0.002646776,0.19859550999999998
131274,5,1,551267.9162072768,1.814e-06,0.19859732399999996
131274,5,1,75557.23460521345,1.3235e-05,0.19861055899999996
786474,0,1,54.33945958211977,0.018402833,0.21701339199999997
786474,0,1,477554.9188156638,2.094e-06,0.21701548599999998
786474,0,1,91903.31770976933,1.0881e-05,0.21702636699999997
274088,7,1,1326.2300452111824,0.000754017,0.21778038399999997
274088,7,1,551571.9801434088,1.813e-06,0.21778219699999996
274245,7,1,199640.64683569575,5.009e-06,0.21778720599999996
274245,7,1,466417.9104477612,2.144e-06,0.21778934999999996
274088,7,1,1028806.5843621399,9.72e-07,0.21779032199999995
274088,7,7,181455.27127563054,5.511e-06,0.21779583299999997
274245,7,1,11235955.056179775,8.9e-08,0.21779592199999998
274088,7,7,2212389.3805309734,4.52e-07,0.217796374
274088,7,7,522466.03970741906,1.914e-06,0.21779828799999998
274245,7,4,247770.06937561944,4.036e-06,0.217802324
64236,7,1,6164.962054658554,0.000162207,0.217964531
64236,7,1,761614.6230007616,1.313e-06,0.217965844
64236,7,1,1883239.1713747648,5.31e-07,0.217966375
274088,7,7,144029.9582313121,6.943e-06,0.217973318
274088,7,7,1051524.7108307045,9.51e-07,0.217974269
274088,7,7,198412.6984126984,5.04e-06,0.217979309
274245,7,4,26197.898928505936,3.8171e-05,0.21801748
274245,7,4,23320.351670903197,4.2881e-05,0.218060361
274245,7,4,156445.55694618274,6.392e-06,0.218066753
274245,7,4,126342.38787113078,7.915e-06,0.218074668
274245,7,4,194174.7572815534,5.15e-06,0.218079818
274245,7,7,5.638398763088675,0.177355317,0.39543513500000005
274245,7,7,453514.7392290249,2.205e-06,0.39543734
274245,7,7,509424.3504839531,1.963e-06,0.395439303
46136,7,1,33.46550422676012,0.029881516,0.425320819
46136,7,1,501504.5135406219,1.994e-06,0.425322813
46136,7,1,1295336.7875647668,7.72e-07,0.425323585
46136,7,1,15664.160401002506,6.384e-05,0.425387425
46136,7,1,891265.5971479501,1.122e-06,0.425388547
46136,7,1,2493765.5860349126,4.01e-07,0.425388948
46136,7,1,4723.687877599799,0.000211699,0.425600647
46136,7,1,1661129.5681063123,6.02e-07,0.425601249
46136,7,1,2702702.7027027025,3.7e-07,0.42560161900000004
46136,7,1,3736.864919806879,0.000267604,0.425869223
46136,7,1,728862.9737609329,1.372e-06,0.425870595
46136,7,1,2932551.319648094,3.41e-07,0.42587093600000003
46136,7,1,62.615800095301246,0.01597041,0.441841346
46136,7,1,462107.20887245843,2.164e-06,0.44184351000000005
46136,7,1,2169197.3969631237,4.61e-07,0.44184397100000006
46136,7,1,21582.889085532992,4.6333e-05,0.44189030400000007
46136,7,1,660938.5327164574,1.513e-06,0.4418918170000001
46136,7,1,2500000.0,4e-07,0.4418922170000001
46136,7,1,3.13022556921939,0.319465795,0.7613580120000001
46136,7,1,519750.5197505197,1.924e-06,0.7613599360000001
46136,7,1,2036659.8778004071,4.91e-07,0.7613604270000001
46136,7,1,24496.59497329871,4.0822e-05,0.7614012490000001
46136,7,1,831255.1953449709,1.203e-06,0.761402452
46136,7,1,2564102.564102564,3.9e-07,0.761402842
46136,7,1,2441.7460437609725,0.000409543,0.7618123849999999
46136,7,1,1584786.053882726,6.31e-07,0.761813016
46136,7,1,2624671.916010499,3.81e-07,0.761813397
22973,7,1,5.033962914462967,0.198650649,0.960464046
22973,7,1,583771.1617046118,1.713e-06,0.960465759
22973,7,1,2079002.0790020789,4.81e-07,0.96046624
22973,7,1,17928.858290304073,5.5776e-05,0.960522016
22973,7,1,580383.0528148578,1.723e-06,0.960523739
22973,7,1,1996007.984031936,5.01e-07,0.96052424
274245,7,1,109.23820986539013,0.009154306,0.969678546
274245,7,1,254647.3134708429,3.927e-06,0.969682473
274245,7,1,97181.72983479105,1.029e-05,0.969692763
274245,7,4,168890.39013680123,5.921e-06,0.9696986839999999
274088,0,1,514668.039114771,1.943e-06,0.9697006269999999
274088,0,1,635727.9084551812,1.573e-06,0.9697022
274088,0,1,156690.69257286118,6.382e-06,0.969708582
274088,1,4,128949.06511927789,7.755e-06,0.969716337
274088,5,7,1636661.2111292963,6.11e-07,0.9697169480000001
274088,5,7,2557544.757033248,3.91e-07,0.9697173390000001
274088,5,7,531067.4455655868,1.883e-06,0.9697192220000002
274245,0,7,6.700462638803265,0.149243426,1.1189626480000001
274245,0,7,282007.8962210942,3.546e-06,1.1189661940000002
274245,0,7,365630.7129798903,2.735e-06,1.1189689290000002
59269,7,1,3.2443536890572493,0.3082278,1.4271967290000003
59269,7,1,361532.89949385397,2.766e-06,1.4271994950000002
59269,7,1,1814882.0326678767,5.51e-07,1.4272000460000003
59269,7,1,23185.180032922955,4.3131e-05,1.4272431770000003
59269,7,1,755857.8987150416,1.323e-06,1.4272445000000002
59269,7,1,2079002.0790020789,4.81e-07,1.4272449810000003
46136,7,1,17.18066255266539,0.058204973,1.4854499540000003
46136,7,1,477554.9188156638,2.094e-06,1.4854520480000004
46136,7,1,2169197.3969631237,4.61e-07,1.4854525090000004
46136,7,1,18177.191260406442,5.5014e-05,1.4855075230000003
46136,7,1,785545.9544383347,1.273e-06,1.4855087960000004
46136,7,1,2564102.564102564,3.9e-07,1.4855091860000005
22295,7,1,110.54620770681731,0.009045991,1.4945551770000005
22295,7,1,443655.72315882874,2.254e-06,1.4945574310000005
22295,7,1,1584786.053882726,6.31e-07,1.4945580620000005
22295,7,1,65449.30950978467,1.5279e-05,1.4945733410000006
22295,7,1,2695417.7897574124,3.71e-07,1.4945737120000007
22295,7,1,3215434.083601286,3.11e-07,1.4945740230000006
22295,7,1,9.86502096282427,0.101368259,1.5959422820000007
22295,7,1,285225.32800912723,3.506e-06,1.5959457880000008
22295,7,1,1445086.7052023122,6.92e-07,1.5959464800000007
22295,7,1,133618.38588989846,7.484e-06,1.5959539640000007
22295,7,1,1848428.8354898337,5.41e-07,1.5959545050000006
22295,7,1,2557544.757033248,3.91e-07,1.5959548960000005
22973,7,1,11.420202051924802,0.087564125,1.6835190210000006
22973,7,1,557724.4841048522,1.793e-06,1.6835208140000006
22973,7,1,1262626.2626262626,7.92e-07,1.6835216060000007
22973,7,1,18614.69443979077,5.3721e-05,1.6835753270000007
22973,7,1,811030.0081103,1.233e-06,1.6835765600000008
22973,7,1,2500000.0,4e-07,1.6835769600000008
22295,7,1,10.419594681309558,0.095973023,1.7795499830000008
22295,7,1,511770.72671443195,1.954e-06,1.7795519370000008
22295,7,1,1447178.002894356,6.91e-07,1.779552628000001
22295,7,1,153069.0341343946,6.533e-06,1.779559161000001
22295,7,1,2375296.912114014,4.21e-07,1.779559582000001
22295,7,1,2702702.7027027025,3.7e-07,1.779559952000001
22295,7,1,92.82830773252377,0.010772576,1.7903325280000009
22295,7,1,319897.6327575176,3.126e-06,1.7903356540000008
22295,7,1,831255.1953449709,1.203e-06,1.790336857000001
22295,7,1,153562.65356265358,6.512e-06,1.7903433690000008
22295,7,1,2493765.5860349126,4.01e-07,1.790343770000001
22295,7,1,2702702.7027027025,3.7e-07,1.7903441400000009
22295,7,1,9.836501411410078,0.101662162,1.8920063020000009
22295,7,1,457665.9038901602,2.185e-06,1.892008487000001
22295,7,1,1919385.7965451058,5.21e-07,1.892009008000001
22295,7,1,152858.4530724549,6.542e-06,1.8920155500000009
22295,7,1,2770083.1024930747,3.61e-07,1.8920159110000008
22295,7,1,3030303.0303030303,3.3e-07,1.8920162410000008
46136,7,1,3.882784890032329,0.257547103,2.1495633440000006
46136,7,1,563697.8579481398,1.774e-06,2.1495651180000004
46136,7,1,1848428.8354898337,5.41e-07,2.1495656590000003
46136,7,1,19651.77062453327,5.0886e-05,2.149616545
46136,7,1,1028806.5843621399,9.72e-07,2.1496175170000003
46136,7,1,2557544.757033248,3.91e-07,2.149617908
39276,7,1,2978.3888107889156,0.000335752,2.14995366
39276,7,1,698324.0223463688,1.432e-06,2.149955092
39276,7,1,3021148.0362537764,3.31e-07,2.1499554229999998
39276,7,1,15338.834862103875,6.5194e-05,2.1500206169999996
39276,7,1,811688.3116883116,1.232e-06,2.1500218489999994
39276,7,1,2557544.757033248,3.91e-07,2.1500222399999993
46136,7,1,2.9750599180042547,0.336127684,2.4861499239999993
46136,7,1,587199.0604815033,1.703e-06,2.4861516269999995
46136,7,1,1848428.8354898337,5.41e-07,2.4861521679999994
46136,7,1,19098.548510313216,5.236e-05,2.4862045279999996
46136,7,1,875656.7425569177,1.142e-06,2.4862056699999995
46136,7,1,2500000.0,4e-07,2.4862060699999993
22295,7,1,131.72006114972118,0.007591858,2.4937979279999993
22295,7,1,397614.31411530817,2.515e-06,2.493800442999999
22295,7,1,1028806.5843621399,9.72e-07,2.493801414999999
22295,7,1,53262.31691078562,1.8775e-05,2.493820189999999
22295,7,1,1848428.8354898337,5.41e-07,2.493820730999999
22295,7,1,2557544.757033248,3.91e-07,2.493821121999999
46136,7,1,113.6564343294259,0.008798446,2.502619567999999
46136,7,1,583771.1617046118,1.713e-06,2.5026212809999993
46136,7,1,1133786.8480725624,8.82e-07,2.5026221629999994
46136,7,1,14950.81182908232,6.6886e-05,2.5026890489999993
46136,7,1,846023.6886632825,1.182e-06,2.5026902309999994
46136,7,1,2849002.849002849,3.51e-07,2.5026905819999996
22295,7,1,10.871522209557744,0.091983439,2.5946740209999994
22295,7,1,291800.40852057195,3.427e-06,2.594677447999999
22295,7,1,853242.3208191127,1.172e-06,2.5946786199999994
22295,7,1,125707.1024512885,7.955e-06,2.5946865749999994
22295,7,1,1996007.984031936,5.01e-07,2.5946870759999996
22295,7,1,3115264.7975077885,3.21e-07,2.5946873969999995
22973,7,1,11.226657113529907,0.08907371,2.6837611069999996
22973,7,1,496524.3296921549,2.014e-06,2.6837631209999997
22973,7,1,1584786.053882726,6.31e-07,2.6837637519999995
22973,7,1,17012.29989282251,5.8781e-05,2.6838225329999994
22973,7,1,665335.994677312,1.503e-06,2.6838240359999994
22973,7,1,2695417.7897574124,3.71e-07,2.6838244069999995
